panel,fold,model,n_components,train_start,train_end,test_start,test_end,status,n_obs,brier,log_loss,avg_pred,avg_actual,train_rows,test_rows,explained_variance
core,1,market_probability,0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,5712,0.08390116657913164,0.2683922967053324,0.18769957983193278,0.0,,,
core,1,fixed_2,2,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.7059567284184857
core,1,var_85,4,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.8660288953727685
core,1,fixed_5,5,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.9117628687247223
core,1,var_90,5,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.9117628687247223
core,1,var_95,7,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.9628811820267993
core,1,fixed_10,10,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,57922.0,5712.0,0.9840611599158399
core,2,market_probability,0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,5712,0.03991063222163866,0.16249010184239646,0.13388384103641457,0.0,,,
core,2,fixed_2,2,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.6979709017050076
core,2,var_85,4,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.8626640439631117
core,2,fixed_5,5,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.907800338247068
core,2,var_90,5,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.907800338247068
core,2,var_95,7,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.9615452799853969
core,2,fixed_10,10,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,63634.0,5712.0,0.9842869248870008
core,3,market_probability,0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,5712,0.021261756783963585,0.10364292491367376,0.08931521358543416,0.0,,,
core,3,fixed_2,2,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.6992010604973642
core,3,var_85,4,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.8724414982139094
core,3,fixed_5,5,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.91624168945705
core,3,var_90,5,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.91624168945705
core,3,var_95,7,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.9647330767758511
core,3,fixed_10,10,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,69346.0,5712.0,0.9853463853494481
core,4,market_probability,0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,5712,0.0044895971757950865,0.04565589330156889,0.04310944819690324,0.0,,,
core,4,fixed_2,2,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.7062589979637337
core,4,var_85,4,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.8911925935194838
core,4,fixed_5,5,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.9299374724655594
core,4,var_90,5,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.9299374724655594
core,4,var_95,6,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.956341814761384
core,4,fixed_10,10,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,75058.0,5712.0,0.987100546244649
core,5,market_probability,0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,5712,0.0014554069657285364,0.021380614148331655,0.020575840702783014,0.0,,,
core,5,fixed_2,2,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.7156086880553907
core,5,var_85,3,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.8648936932563349
core,5,var_90,4,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.9085718135124813
core,5,fixed_5,5,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.9421227399370937
core,5,var_95,6,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.9629511578565095
core,5,fixed_10,10,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,80770.0,5712.0,0.9891191196063103
core,6,market_probability,0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,5712,0.00019253141503842693,0.007578225646583986,0.007478515921399217,0.0,,,
core,6,fixed_2,2,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.7257804162854506
core,6,var_85,3,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.8789089344446079
core,6,var_90,4,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.921867094070329
core,6,fixed_5,5,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.9513436353387229
core,6,var_95,5,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.9513436353387229
core,6,fixed_10,10,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,skipped:single_class_train_labels,0,,,,,86482.0,5712.0,0.9904920029390186
core,7,market_probability,0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,4471,8.981822457336517e-06,0.001923417767953575,0.0019188946768119248,0.0,,,
core,7,fixed_2,2,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.7341178685235827
core,7,var_85,3,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.8888226052642787
core,7,var_90,4,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.9313467817767853
core,7,fixed_5,5,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.957740060485958
core,7,var_95,5,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.957740060485958
core,7,fixed_10,10,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,skipped:single_class_train_labels,0,,,,,92194.0,4471.0,0.9914377968424422
core_plus_satellites,1,market_probability,0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.08080424477969542,0.24850121115214913,0.1391263789508608,0.038461538461538464,,,
core_plus_satellites,1,fixed_2,2,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.03724901508759195,0.16541891669766845,0.04725208112630327,0.038461538461538464,79140.0,8736.0,0.6402556918277219
core_plus_satellites,1,fixed_5,5,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.03768540732107899,0.16871419387284578,0.060674425718821465,0.038461538461538464,79140.0,8736.0,0.845139254718293
core_plus_satellites,1,var_85,6,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.03743674576815792,0.16679505857504645,0.05584177026872978,0.038461538461538464,79140.0,8736.0,0.8753909144461237
core_plus_satellites,1,var_90,7,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.0373852843030932,0.1663902699775727,0.054790034366550826,0.038461538461538464,79140.0,8736.0,0.9041121357499302
core_plus_satellites,1,fixed_10,10,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.03755368176782484,0.16780147538948278,0.05924526853481792,0.038461538461538464,79140.0,8736.0,0.9566396136440786
core_plus_satellites,1,var_95,10,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,ok,8736,0.03755368176782484,0.16780147538948278,0.05924526853481792,0.038461538461538464,79140.0,8736.0,0.9566396136440786
core_plus_satellites,2,market_probability,0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.05318225179224724,0.1827215063295288,0.10187987552631302,0.038461538461538464,,,
core_plus_satellites,2,fixed_2,2,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.03697599718638335,0.16282284977492184,0.03130663844326908,0.038461538461538464,87876.0,8736.0,0.6362719115578264
core_plus_satellites,2,fixed_5,5,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.03694327828134176,0.16230666801679922,0.03252493466042223,0.038461538461538464,87876.0,8736.0,0.8359797601072565
core_plus_satellites,2,var_85,6,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.03695814478051164,0.16250410393358175,0.031331047484968254,0.038461538461538464,87876.0,8736.0,0.8693419233065948
core_plus_satellites,2,var_90,8,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.036954765672111096,0.16246819643400834,0.03171132962901528,0.038461538461538464,87876.0,8736.0,0.9218573629889545
core_plus_satellites,2,fixed_10,10,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.03690997031602434,0.1618596672501682,0.03530397569672851,0.038461538461538464,87876.0,8736.0,0.9514454887925368
core_plus_satellites,2,var_95,10,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,ok,8736,0.03690997031602434,0.1618596672501682,0.03530397569672851,0.038461538461538464,87876.0,8736.0,0.9514454887925368
core_plus_satellites,3,market_probability,0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.04071876025961418,0.14230692759814587,0.07137458759647806,0.038461538461538464,,,
core_plus_satellites,3,fixed_2,2,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03684261853521584,0.1608056101084517,0.03493132454688506,0.038461538461538464,96612.0,8736.0,0.641865224374833
core_plus_satellites,3,fixed_5,5,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03678083560201393,0.1603314831917849,0.04205940940219572,0.038461538461538464,96612.0,8736.0,0.8445503176618168
core_plus_satellites,3,var_85,6,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03679797804334224,0.16053161709090802,0.04291096243566041,0.038461538461538464,96612.0,8736.0,0.8774183125378704
core_plus_satellites,3,var_90,7,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03678916012428455,0.16051992860739722,0.04389330769487239,0.038461538461538464,96612.0,8736.0,0.9060079924791852
core_plus_satellites,3,fixed_10,10,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03725153755609556,0.1656834241319064,0.061763224366378516,0.038461538461538464,96612.0,8736.0,0.954656869664481
core_plus_satellites,3,var_95,10,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,ok,8736,0.03725153755609556,0.1656834241319064,0.061763224366378516,0.038461538461538464,96612.0,8736.0,0.954656869664481
core_plus_satellites,4,market_probability,0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.029016740081383705,0.10075596950311817,0.03924849222775275,0.038461538461538464,,,
core_plus_satellites,4,fixed_2,2,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.036754330475849084,0.15953991288855746,0.027923062765282117,0.038461538461538464,105348.0,8736.0,0.6495110086809603
core_plus_satellites,4,fixed_5,5,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.03666741773682427,0.15820414385720336,0.02997073136164302,0.038461538461538464,105348.0,8736.0,0.8468405600008563
core_plus_satellites,4,var_85,6,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.03667184337800034,0.15820939913286125,0.0298279403396654,0.038461538461538464,105348.0,8736.0,0.8788492239134348
core_plus_satellites,4,var_90,7,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.03659971479483146,0.1573970977723177,0.032019768809599225,0.038461538461538464,105348.0,8736.0,0.9103261056814257
core_plus_satellites,4,fixed_10,10,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.03658507931065519,0.15733086669966317,0.033059882499053755,0.038461538461538464,105348.0,8736.0,0.9595340051331012
core_plus_satellites,4,var_95,10,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,ok,8736,0.03658507931065519,0.15733086669966317,0.033059882499053755,0.038461538461538464,105348.0,8736.0,0.9595340051331012
core_plus_satellites,5,market_probability,0,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.030201456170044067,0.09709819121732605,0.021799411248640353,0.038461538461538464,,,
core_plus_satellites,5,fixed_2,2,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.036573056344959554,0.15700575397176317,0.03224932439392594,0.038461538461538464,114084.0,8736.0,0.6606919744546269
core_plus_satellites,5,fixed_5,5,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.03648922068824431,0.15647274812269749,0.03667902884466727,0.038461538461538464,114084.0,8736.0,0.8552853210424867
core_plus_satellites,5,var_85,5,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.03648922068824431,0.15647274812269749,0.03667902884466727,0.038461538461538464,114084.0,8736.0,0.8552853210424867
core_plus_satellites,5,var_90,7,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.036484926871853764,0.1569348768644206,0.04101728398571271,0.038461538461538464,114084.0,8736.0,0.9188043667270631
core_plus_satellites,5,var_95,9,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.03648762329271086,0.15694806885126933,0.04090895498052272,0.038461538461538464,114084.0,8736.0,0.9529811248793876
core_plus_satellites,5,fixed_10,10,2024-12-30 23:00:00+00:00,2025-11-23 09:00:00+00:00,2025-11-23 10:00:00+00:00,2025-12-07 09:00:00+00:00,ok,8736,0.03648674474787732,0.15693980112865782,0.04093684881774128,0.038461538461538464,114084.0,8736.0,0.9648607413526828
core_plus_satellites,6,market_probability,0,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.02453695920836714,0.07078074417473437,0.01615634255069207,0.04079650315687227,,,
core_plus_satellites,6,fixed_2,2,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.037513632763678126,0.15336179250989468,0.03685181673896592,0.04079650315687227,122820.0,8236.0,0.6794487410710648
core_plus_satellites,6,fixed_5,5,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.03793795706040413,0.15465690187337972,0.032753551091744514,0.04079650315687227,122820.0,8236.0,0.8730143950940359
core_plus_satellites,6,var_85,5,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.03793795706040413,0.15465690187337972,0.032753551091744514,0.04079650315687227,122820.0,8236.0,0.8730143950940359
core_plus_satellites,6,var_90,6,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.037987208154091484,0.15491627207223746,0.03223875199567309,0.04079650315687227,122820.0,8236.0,0.9030163715806031
core_plus_satellites,6,var_95,9,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.03854536301923153,0.16054248609268296,0.02854843147015254,0.04079650315687227,122820.0,8236.0,0.9594172126386465
core_plus_satellites,6,fixed_10,10,2024-12-30 23:00:00+00:00,2025-12-07 09:00:00+00:00,2025-12-07 10:00:00+00:00,2025-12-21 09:00:00+00:00,ok,8236,0.03857013268966611,0.1608388092706054,0.02824587494632501,0.04079650315687227,122820.0,8236.0,0.9691691337237621
core_plus_satellites,7,market_probability,0,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.022384203946709185,0.05763236677059312,0.01333563183741687,0.041666666666666664,,,
core_plus_satellites,7,fixed_2,2,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.03740168854115991,0.1463427281041192,0.035167896568702076,0.041666666666666664,131056.0,6312.0,0.6874417953409157
core_plus_satellites,7,fixed_5,5,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.03740214027840381,0.1462393232972787,0.034869304124328704,0.041666666666666664,131056.0,6312.0,0.8789360881634523
core_plus_satellites,7,var_85,5,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.03740214027840381,0.1462393232972787,0.034869304124328704,0.041666666666666664,131056.0,6312.0,0.8789360881634523
core_plus_satellites,7,var_90,6,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.03733940709566138,0.14605232122189998,0.0355800482952778,0.041666666666666664,131056.0,6312.0,0.9090477536722491
core_plus_satellites,7,var_95,8,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.03723525346687307,0.1456361383474983,0.036390637656659744,0.041666666666666664,131056.0,6312.0,0.9513524905268038
core_plus_satellites,7,fixed_10,10,2024-12-30 23:00:00+00:00,2025-12-21 09:00:00+00:00,2025-12-21 10:00:00+00:00,2026-01-01 08:00:00+00:00,ok,6312,0.037252610415170834,0.14581386165918192,0.03636260951638166,0.041666666666666664,131056.0,6312.0,0.9704708070430208
